market,yahoo,bb,name,sector,mcap_usd,pe_fwd,pbr
일본,6981.T,6981 JP Equity,"Murata Manufacturing Co., Ltd.",Electronic Technology,85247383013.94691,,4.880537190310303
일본,7011.T,7011 JP Equity,"Mitsubishi Heavy Industries, Ltd.",Producer Manufacturing,84507837360.85376,32.71550421964167,4.265424625882786
일본,2914.T,2914 JP Equity,Japan Tobacco Inc.,Consumer Non-Durables,77054716125.18459,,2.807435898850121
일본,7182.T,7182 JP Equity,"Japan Post Bank Co., Ltd.",Finance,74501137116.29955,16.73772437101451,1.2861135329273814
일본,6503.T,6503 JP Equity,Mitsubishi Electric Corp.,Producer Manufacturing,74150406602.43762,20.866769779592783,2.5288533639317423
일본,4063.T,4063 JP Equity,"Shin-Etsu Chemical Co., Ltd.",Process Industries,74004458448.26465,18.748279390014908,2.448126240646412
일본,4519.T,4519 JP Equity,"Chugai Pharmaceutical Co., Ltd.",Health Technology,72324392702.3108,,5.706774624702077
일본,9434.T,9434 JP Equity,SoftBank Corp.,Communications,70956701725.65585,19.071155306839803,4.3874099607311114
일본,9433.T,9433 JP Equity,KDDI Corporation,Communications,65769442749.74591,,2.1698521338594703
일본,7974.T,7974 JP Equity,"Nintendo Co., Ltd.",Consumer Durables,64779651406.478,29.047803223300967,3.5532241326764806
일본,6752.T,6752 JP Equity,Panasonic Holdings Corporation,Consumer Durables,64391425687.22395,20.06298705241903,1.9064274033762103
일본,5803.T,5803 JP Equity,Fujikura Ltd,Producer Manufacturing,58559781332.445404,27.74122902600742,14.531613838853165
일본,4502.T,4502 JP Equity,Takeda Pharmaceutical Co. Ltd.,Health Technology,57844817200.19749,38.29866020259239,1.2127361694700607
일본,8053.T,8053 JP Equity,Sumitomo Corporation,Distribution Services,52202794862.43847,12.60387701219867,1.7768313619712113
일본,7741.T,7741 JP Equity,HOYA CORPORATION,Health Technology,50942589677.97386,28.5331138448444,8.038633716461325
일본,8002.T,8002 JP Equity,Marubeni Corporation,Process Industries,50916441351.03383,12.92060149857715,1.7902209534088944
일본,8725.T,8725 JP Equity,"MS&AD Insurance Group Holdings, Inc.",Finance,46969710422.999115,14.586161713637495,1.1048964872735068
일본,8015.T,8015 JP Equity,Toyota Tsusho Corp.,Distribution Services,44517550772.338326,,2.7534402501889312
일본,5802.T,5802 JP Equity,"Sumitomo Electric Industries, Ltd.",Producer Manufacturing,43068021177.98293,18.42520250586473,2.3989446228283526
일본,6178.T,6178 JP Equity,"JAPAN POST HOLDINGS Co., Ltd.",Finance,42681676027.93471,16.08007585591517,0.6693620378522925
일본,6702.T,6702 JP Equity,Fujitsu Limited,Technology Services,42318538869.30925,21.71945661079563,3.3275081484742315
일본,6301.T,6301 JP Equity,Komatsu Ltd.,Producer Manufacturing,41991354248.03669,16.935339339929897,1.9116293999908343
일본,6701.T,6701 JP Equity,NEC Corporation,Technology Services,41642346630.559845,21.41139538369094,2.9138242705710247
일본,8750.T,8750 JP Equity,Daiichi Life Group. Inc.,Finance,41495385956.668526,12.264961527783768,1.4514286223708923
일본,7267.T,7267 JP Equity,"Honda Motor Co., Ltd.",Consumer Durables,41409347683.35766,15.797231432428276,0.5361708762127134
일본,8591.T,8591 JP Equity,ORIX Corporation,Finance,40501213119.06425,11.01777585062581,1.4458090425361902
일본,6146.T,6146 JP Equity,Disco Corporation,Producer Manufacturing,40233952515.90918,32.21248267571568,11.057849807346544
일본,4578.T,4578 JP Equity,"Otsuka Holdings Co., Ltd.",Health Technology,39929073502.25013,,1.973644550709662
일본,8630.T,8630 JP Equity,"Sompo Holdings,Inc.",Finance,39533673034.10965,11.53357349278258,1.1509734798984965
일본,6367.T,6367 JP Equity,"DAIKIN INDUSTRIES, LTD.",Producer Manufacturing,38212143267.94349,,1.943399186486683
일본,6723.T,6723 JP Equity,Renesas Electronics Corporation,Electronic Technology,37942842354.827934,12.26323588149749,2.1913355988464223
일본,6762.T,6762 JP Equity,TDK Corporation,Electronic Technology,36901486996.59142,22.269639188336342,2.569465801041821
일본,8308.T,8308 JP Equity,"Resona Holdings, Inc.",Finance,36145853045.07327,16.87736582883773,1.872985645870381
일본,4062.T,4062 JP Equity,"IBIDEN CO., LTD.",Electronic Technology,35590221552.69021,,9.89341266279439
일본,6954.T,6954 JP Equity,Fanuc Corporation,Producer Manufacturing,34974009016.185265,27.24635873034922,2.9841331049199353
일본,4568.T,4568 JP Equity,"Daiichi Sankyo Company, Limited",Health Technology,33325858303.531067,19.573650497972103,3.1335542971993116
일본,6902.T,6902 JP Equity,DENSO CORPORATION,Producer Manufacturing,32954490473.813644,10.50196618682687,0.9392410620364234
일본,5108.T,5108 JP Equity,Bridgestone Corporation,Consumer Durables,32436860924.55902,,1.353740022289282
일본,2802.T,2802 JP Equity,"Ajinomoto Co., Inc.",Consumer Non-Durables,31759111640.934376,,6.693191472674415
일본,8309.T,8309 JP Equity,"Sumitomo Mitsui Trust Group, Inc.",Finance,31224662986.483215,13.65900805054836,1.3444112014973983
일본,4661.T,4661 JP Equity,"Oriental Land Co., Ltd.",Consumer Services,31128511553.024208,,4.417386927976737
일본,6971.T,6971 JP Equity,Kyocera Corporation,Distribution Services,29837332920.172817,,1.4160543894889122
일본,8604.T,8604 JP Equity,"Nomura Holdings, Inc.",Finance,29523310450.45744,10.793391228899832,1.2515785839781677
일본,1605.T,1605 JP Equity,Inpex Corporation,Energy Minerals,29000301371.05868,,0.8828197315065955
일본,3382.T,3382 JP Equity,"Seven & I Holdings Co., Ltd.",Retail Trade,28911605813.359596,,1.254241752863854
일본,8802.T,8802 JP Equity,"Mitsubishi Estate Company, Limited",Finance,28425271328.200558,21.467438599184955,1.692595561813643
일본,7751.T,7751 JP Equity,Canon Inc.,Electronic Technology,28259182303.246304,13.898651955332117,1.1424160104879153
일본,6273.T,6273 JP Equity,SMC Corporation,Producer Manufacturing,27487434054.776894,21.714734637499316,2.051295006829463
일본,4503.T,4503 JP Equity,Astellas Pharma Inc.,Health Technology,26673023984.36172,,2.187867255739042
일본,7269.T,7269 JP Equity,Suzuki Motor Corp.,Consumer Durables,26563816575.694874,10.404130019616963,1.1828784998335848
일본,8801.T,8801 JP Equity,"Mitsui Fudosan Co., Ltd.",Finance,26086703303.221443,14.227167117432286,1.2773093614326574
일본,9020.T,9020 JP Equity,East Japan Railway Company,Transportation,25242799637.306366,,1.3195953353580971
일본,4901.T,4901 JP Equity,FUJIFILM Holdings Corp,Health Technology,24795399729.032986,,1.0178885494046055
일본,8267.T,8267 JP Equity,"AEON Co., Ltd.",Retail Trade,23535649406.523373,,3.107253587871496
일본,9022.T,9022 JP Equity,Central Japan Railway Company,Transportation,23485690280.075077,,0.721172932812128
일본,4543.T,4543 JP Equity,Terumo Corporation,Health Technology,23440848802.03989,,2.253448163986911
일본,4689.T,4689 JP Equity,LY Corporation,Technology Services,23367279631.20479,,1.2646692501835368
일본,7832.T,7832 JP Equity,Bandai Namco Holdings Inc.,Consumer Durables,22839156836.65266,,4.117710775818127
일본,5401.T,5401 JP Equity,NIPPON STEEL CORP.,Non-Energy Minerals,22606727139.417336,11.866347557151977,0.6277691504595743
일본,5016.T,5016 JP Equity,JX Advanced Metals Corporation,Non-Energy Minerals,22568026113.03413,,5.639991691892553
일본,5020.T,5020 JP Equity,"ENEOS Holdings, Inc.",Energy Minerals,22332362356.730583,,0.9416334682194828
일본,4452.T,4452 JP Equity,Kao Corporation,Consumer Non-Durables,20547449860.556534,,2.937869721003727
일본,6326.T,6326 JP Equity,Kubota Corporation,Producer Manufacturing,20101942416.70177,12.171666601993696,1.1391824823470242
일본,7936.T,7936 JP Equity,Asics Corporation,Consumer Non-Durables,20075426950.731873,,9.088398652206875
일본,5713.T,5713 JP Equity,"Sumitomo Metal Mining Co., Ltd.",Non-Energy Minerals,19787504988.91812,15.559137764831373,1.45279090713487
일본,8830.T,8830 JP Equity,"Sumitomo Realty & Development Co., Ltd.",Finance,19599102569.06831,13.505818168067961,1.2251901696455454
일본,6920.T,6920 JP Equity,Lasertec Corp.,Electronic Technology,19518884084.568096,29.62317015180869,12.577704132044136
일본,1925.T,1925 JP Equity,"Daiwa House Industry Co., Ltd.",Consumer Durables,19126702996.59406,10.142118739960544,1.0038680530391004
일본,4004.T,4004 JP Equity,Resonac Holdings Corporation,Process Industries,18933283774.70242,,3.8907804924189593
일본,9766.T,9766 JP Equity,KONAMI Group Corporation,Technology Services,18871918899.719116,21.896712542566085,5.209223541920503
일본,6594.T,6594 JP Equity,Nidec Corporation,Producer Manufacturing,18809343270.803627,9.440704752564377,
일본,7013.T,7013 JP Equity,IHI Corporation,Producer Manufacturing,18654453072.727264,,4.20956953864168
일본,4307.T,4307 JP Equity,"Nomura Research Institute,Ltd.",Technology Services,18029673386.50097,23.124382478867055,7.8927936201287165
일본,9735.T,9735 JP Equity,"Secom Co., Ltd.",Commercial Services,17850076413.316605,,1.9751427744857248
일본,9101.T,9101 JP Equity,Nippon Yusen Kabushiki Kaisha,Transportation,17745013852.64382,11.159558950389762,0.921860373159543
일본,9503.T,9503 JP Equity,"Kansai Electric Power Company, Incorporated",Utilities,17454272352.396496,,0.8158722310295824
일본,5801.T,5801 JP Equity,"Furukawa Electric Co., Ltd.",Producer Manufacturing,17156909605.700325,27.922785963453734,6.283518235074193
일본,4612.T,4612 JP Equity,"Nippon Paint Holdings Co., Ltd.",Process Industries,17135404938.666534,13.935540812904813,1.3648370315647296
일본,9104.T,9104 JP Equity,"Mitsui O.S.K.Lines,Ltd.",Transportation,16066801324.528269,9.910476110668846,0.8185824330915539
일본,4507.T,4507 JP Equity,"Shionogi & Co., Ltd.",Health Technology,16006391886.15605,,1.3984914433187
일본,7735.T,7735 JP Equity,"SCREEN Holdings Co., Ltd",Producer Manufacturing,15986474422.804588,18.69271350299787,5.216806185897448
일본,7532.T,7532 JP Equity,Pan Pacific International Holdings Corporation,Retail Trade,15878737689.129042,21.117524252935297,3.424233659045142
일본,2502.T,2502 JP Equity,Asahi Group Holdings Ltd,Consumer Non-Durables,15873129305.267132,,0.7662257030483183
일본,8601.T,8601 JP Equity,Daiwa Securities Group Inc.,Finance,15753777744.049253,11.861313171520317,1.4343481858740632
일본,2503.T,2503 JP Equity,Kirin Holdings Co. Ltd.,Consumer Non-Durables,15454969037.161633,,1.786309290285101
일본,3659.T,3659 JP Equity,"NEXON Co., Ltd.",Technology Services,15226854014.348804,,2.292983137993459
일본,4091.T,4091 JP Equity,Nippon Sanso Holdings Corporation,Process Industries,15145321882.681189,16.316999618573746,1.9128788367142069
일본,7453.T,7453 JP Equity,"Ryohin Keikaku Co., Ltd.",Consumer Non-Durables,14911980549.664865,,5.8492546144435416
일본,7733.T,7733 JP Equity,Olympus Corp.,Health Technology,14785672399.49272,,3.053875276777875
일본,1812.T,1812 JP Equity,Kajima Corporation,Industrial Services,14682470562.388391,11.225935301084508,1.628879015402008
일본,8697.T,8697 JP Equity,"Japan Exchange Group, Inc.",Finance,14591962236.214449,23.218623511093107,7.284663226492666
일본,8795.T,8795 JP Equity,"T&D Holdings, Inc.",Finance,14569466135.148947,10.310558061745457,1.393002584216173
일본,7012.T,7012 JP Equity,Kawasaki Heavy Industries Ltd.,Consumer Durables,14365636496.45969,,2.4769163998032404
일본,8473.T,8473 JP Equity,SBI Holdings Incorporated,Finance,14157251738.65761,9.224445200763414,1.187614817999346
일본,6988.T,6988 JP Equity,Nitto Denko Corp.,Electronic Technology,14001263258.597176,15.759364358683314,2.0097805149445622
일본,7186.T,7186 JP Equity,"Yokohama Financial Group, Inc.",Finance,13788544731.48821,15.331867026249316,1.4761684516684463
일본,1928.T,1928 JP Equity,"Sekisui House, Ltd.",Finance,13744267143.898832,10.100716578660293,1.0289390549972788
일본,3407.T,3407 JP Equity,Asahi Kasei Corporation,Process Industries,13721187734.467346,13.54802529669169,1.0273791029971178
일본,6383.T,6383 JP Equity,"Daifuku Co., Ltd.",Producer Manufacturing,13571369145.474316,22.3290524763166,4.2624336394913165
일본,9532.T,9532 JP Equity,"Osaka Gas Co., Ltd.",Utilities,13513188313.96743,,1.1768841944558786
일본,4684.T,4684 JP Equity,"OBIC Co., Ltd.",Technology Services,13460475724.738663,,4.408440190929798
일본,9502.T,9502 JP Equity,"Chubu Electric Power Company,Incorporated",Utilities,13423324850.573708,,0.677263435678264
일본,6361.T,6361 JP Equity,Ebara Corporation,Producer Manufacturing,13399190577.647781,15.520697603445045,4.0201194630636525
일본,6525.T,6525 JP Equity,Kokusai Electric Corporation,Producer Manufacturing,13258403174.502562,,9.25401563630595
일본,9107.T,9107 JP Equity,"Kawasaki Kisen Kaisha, Ltd.",Transportation,13127387013.08661,10.519440124416796,1.1782741177948648
일본,1801.T,1801 JP Equity,Taisei Corporation,Industrial Services,12925838657.547667,12.308677180934644,2.2166327327095323
일본,1802.T,1802 JP Equity,Obayashi Corporation,Consumer Durables,12842766795.986862,13.449516527996401,1.6519367271941146
일본,9531.T,9531 JP Equity,"TOKYO GAS Co., Ltd.",Utilities,12783585581.198399,,1.1746803291075996
일본,8593.T,8593 JP Equity,Mitsubishi HC Capital Inc.,Finance,12580913549.924257,11.772853185595569,1.0007769239979178
일본,5831.T,5831 JP Equity,"Shizuoka Financial Group, Inc.",Finance,12423909899.174984,16.291756597907003,1.5151692141393465
일본,6504.T,6504 JP Equity,"Fuji Electric Co., Ltd.",Producer Manufacturing,12330213998.044474,,2.550377228483485
일본,8331.T,8331 JP Equity,"Chiba Bank, Ltd.",Finance,12039426976.28191,16.38237631627475,1.5113280115757255
일본,3402.T,3402 JP Equity,"Toray Industries, Inc.",Process Industries,11864776553.952818,16.938311746571305,1.0328924831712476
일본,7550.T,7550 JP Equity,"Zensho Holdings Co., Ltd.",Consumer Services,11846757657.377129,,5.296233383255335
일본,7270.T,7270 JP Equity,Subaru Corporation,Consumer Durables,11795371473.03,8.716694625434402,0.670596102328249
일본,6963.T,6963 JP Equity,ROHM Company Limited,Electronic Technology,11650776493.694252,39.40691628258453,2.4086027751153214
일본,7272.T,7272 JP Equity,"Yamaha Motor Co., Ltd.",Consumer Durables,11444242810.383194,18.55676109202311,1.4928046119587637
일본,8113.T,8113 JP Equity,Unicharm Corporation,Consumer Non-Durables,11280925163.598888,,2.093980987772135
일본,7181.T,7181 JP Equity,"JAPAN POST INSURANCE Co., Ltd.",Finance,11244607696.422773,11.940914703100185,0.3899327895995565
일본,9697.T,9697 JP Equity,"Capcom Co., Ltd.",Technology Services,11234786674.995691,,6.268509162171975
일본,2801.T,2801 JP Equity,Kikkoman Corporation,Consumer Non-Durables,10944330444.450571,,2.922101187281499
일본,9843.T,9843 JP Equity,Nitori Holdings Co. Ltd.,Retail Trade,10940491656.471743,,1.7191660356940672
일본,9435.T,9435 JP Equity,"Hikari Tsushin, Inc.",Utilities,10913083900.558142,,1.4232829706039969
일본,4755.T,4755 JP Equity,"Rakuten Group, Inc.",Retail Trade,10798295903.322725,,1.8873870049162857
일본,7309.T,7309 JP Equity,Shimano Inc.,Consumer Durables,10702538507.374887,33.503456044583295,1.932464275449341
일본,5019.T,5019 JP Equity,"Idemitsu Kosan Co., Ltd.",Energy Minerals,10539148773.533726,,1.0041824216058186
일본,5706.T,5706 JP Equity,"Mitsui Kinzoku Co., Ltd.",Non-Energy Minerals,10370360045.764145,15.818809462522935,3.93075194301982
일본,5334.T,5334 JP Equity,"Niterra Co.,Ltd.",Producer Manufacturing,10251586806.95249,,1.9032709335061548
일본,8136.T,8136 JP Equity,Sanrio Co. Ltd.,Retail Trade,10050774722.568739,,9.421781270970058
일본,7259.T,7259 JP Equity,Aisin Corporation,Producer Manufacturing,10049331819.513824,9.645488972620871,0.7367626647192465
일본,4188.T,4188 JP Equity,Mitsubishi Chemical Group Corporation,Process Industries,10046619308.2713,16.450198410798244,0.8828223317483856
