시장,티커,섹터,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
일본,1625 JP,전기·정밀,1.0,2.4,11.6,-0.4,34.4,3,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1
일본,1626 JP,정보통신·서비스,1.7,3.5,8.0,11.1,16.9,10,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2
일본,1627 JP,전력·가스,0.2,-0.5,2.4,4.0,6.7,13,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13
일본,1628 JP,운수·물류,0.7,0.1,-1.0,11.0,8.3,11,19.9,11,-0.0,17,19.0,14,13.1,8,4.7,12,-17.1,16
일본,1629 JP,상사·도매,1.2,1.7,2.7,0.9,19.6,8,41.5,5,20.1,9,42.0,1,21.3,3,29.2,2,1.9,7
일본,1630 JP,소매,0.2,-0.2,-5.2,3.2,3.7,15,16.8,12,23.4,4,16.4,16,10.2,9,-4.4,15,8.7,4
일본,1631 JP,은행,0.5,3.4,2.1,19.6,48.6,2,44.8,2,50.4,1,33.2,8,38.3,1,26.7,4,-16.3,15
일본,1632 JP,금융(은행외),1.2,3.5,-2.7,12.7,30.8,4,21.4,10,49.0,2,27.2,10,13.7,6,22.6,6,-3.6,10
일본,1633 JP,부동산,1.0,2.5,-5.4,-1.0,-3.1,17,41.6,4,13.9,12,23.6,11,4.4,11,6.8,10,-13.3,14
홍콩,2800 HK,항셍지수,0.1,-1.4,-0.9,2.8,1.2,1,27.4,1,17.9,3,-13.7,2,-15.3,1,-14.2,1,-3.7,1
홍콩,2828 HK,H주(중국기업),0.1,-1.7,-2.8,1.3,-4.2,2,22.9,2,27.1,1,-14.1,3,-18.6,2,-23.2,2,-4.1,2
홍콩,3033 HK,항셍테크,-0.3,-3.2,-4.2,-5.5,-16.1,3,22.7,3,18.9,2,-9.3,1,-27.4,3,-32.9,3,,
중국A,512480 CH,반도체,-2.3,-0.3,8.5,1.6,41.9,1,45.0,5,25.6,3,-2.4,4,-36.6,12,23.8,4,46.6,5
중국A,515000 CH,테크(科技),-1.4,0.0,9.2,-4.5,28.4,3,52.1,4,12.0,5,0.5,3,-34.0,11,-2.8,8,46.1,6
중국A,515050 CH,5G통신,-1.3,-1.3,17.6,-10.4,36.5,2,99.7,2,24.2,4,16.3,1,-37.8,13,6.8,6,20.7,8
중국A,515030 CH,신에너지차,-0.1,-0.7,1.9,-15.5,-12.7,9,56.6,3,0.3,8,-29.0,12,-28.9,10,41.9,2,,
중국A,512660 CH,방산(军工),0.2,1.4,4.7,-11.5,-18.2,12,31.8,6,8.5,6,-10.8,6,-26.1,8,13.1,5,69.9,3
중국A,515790 CH,태양광,0.0,-0.7,5.2,-20.6,-12.1,8,27.1,7,-14.9,13,-35.2,13,-19.7,5,50.7,1,,
중국A,512690 CH,백주(주류),0.5,1.0,-6.4,-7.2,-21.1,13,-13.0,13,-11.0,11,-18.6,10,-11.9,3,-3.0,9,336.4,1
중국A,512800 CH,은행,-0.2,0.2,-2.7,4.1,-0.7,6,10.8,8,42.6,1,-3.3,5,-4.8,1,-1.2,7,0.9,10
중국A,512400 CH,유색금속,0.8,1.8,13.5,1.7,2.9,4,101.1,1,4.1,7,-11.4,7,-21.6,6,33.2,3,43.2,7
중국A,512200 CH,부동산,0.6,2.7,5.7,-8.5,-17.2,11,2.5,11,-0.5,9,-27.0,11,-10.4,2,-6.4,11,-4.3,11
중국A,512880 CH,증권,-0.2,3.9,-0.2,6.7,-8.8,7,3.5,10,29.7,2,3.8,2,-26.1,8,-3.8,10,17.5,9
중국A,512010 CH,의약,-0.8,-1.3,1.9,12.6,1.3,5,4.7,9,-12.2,12,-14.0,8,-24.5,7,-15.7,13,62.9,4
중국A,159928 CH,소비(消费),0.9,1.8,-4.0,-2.9,-15.4,10,-2.9,12,-4.2,10,-18.3,9,-13.4,4,-7.5,12,77.4,2
