구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),60일,52주,이유,시장
신고가,NEW,2269 HK Equity,Wuxi Biologics (Cayman) Inc.,Health Technology,39.64,3.77,20.2,O,,특별한 개별 뉴스 없음(혁신약·CXO 섹터 랠리 동반 신고가 추정),홍콩
신고가,NEW,5 HK Equity,HSBC Holdings Plc,Finance,154.9,1.51,342.8,O,O,"항셍지수 랠리 속 사상최고가, 매매단위 축소·30억달러 채권상환 호재",홍콩
신고가,NEW,945 HK Equity,Manulife Financial Corporation,Finance,325.8,1.12,69.6,O,O,,홍콩
신고가,NEW,2 HK Equity,CLP Holdings Limited,Utilities,77.0,0.0,24.8,O,O,,홍콩
신고가,NEW,1377 HK Equity,"Guangdong Dtech Technology Co., Ltd. Class H",Producer Manufacturing,412.6,-6.86,25.6,O,O,,홍콩
신저가,NEW,001399 CH Equity,HKC Corporation Limited Class A,Electronic Technology,27.07,-9.77,36.0,O,O,IPO 직후 급락 지속: 패널 업황·370억위안 부채·해금 부담(7/3~7 이상변동),중국A
신저가,NEW,600023 CH Equity,"Zhejiang Zheneng Electric Power Co., Ltd. Class A",Utilities,5.0,-8.59,10.9,O,,7/14 반기 순익 -54~62% 예고(전력판가 하락+2Q 석탄가 상승),중국A
신저가,NEW,601231 CH Equity,"Universal Scientific Industrial (Shanghai) Co., Ltd. Class A",Electronic Technology,27.28,-5.61,10.2,O,,대주주 환청과기 지분 2% 대종거래 감축(7/21 개시) 앞둔 수급 부담,중국A
신저가,NEW,000338 CH Equity,"Weichai Power Co., Ltd. Class A",Producer Manufacturing,26.45,-4.34,36.0,O,,특별한 뉴스 없음(섹터/수급 흐름 추정),중국A
신저가,NEW,301638 CH Equity,"CSG Digital Power Grid Research Institute Co., Ltd. Class A",Technology Services,21.31,-2.16,10.1,O,,특별한 뉴스 없음(신규상장주 수급/해금 부담 추정),중국A
신저가,NEW,600029 CH Equity,China Southern Airlines Company Limited Class A,Transportation,5.05,0.2,12.1,O,O,,중국A
신저가,NEW,601012 CH Equity,"LONGi Green Energy Technology Co., Ltd. Class A",Electronic Technology,12.0,2.3,13.2,O,O,,중국A
신저가,NEW,600760 CH Equity,"AVIC Shenyang Aircraft Co., Ltd. Class A",Electronic Technology,39.79,2.39,16.3,O,O,,중국A
신고가,NEW,601995 CH Equity,China International Capital Corp. Ltd. Class A,Finance,38.34,8.18,20.5,O,,반기 순익 +78~90% 예고(7/8)+동흥·신다증권 흡수합병 추진 기대,중국A
신고가,NEW,603501 CH Equity,"OmniVision Integrated Circuits Group, Inc. Class A",Electronic Technology,111.12,4.68,19.4,O,,7/15 H주 인센티브·H주 상장 관련 임시주총 개최+반도체 강세,중국A
신고가,NEW,601628 CH Equity,China Life Insurance Co. Ltd. Class A,Finance,40.42,4.39,146.5,O,,보험주 동반 급등: 저평가+신계약 개선·자산운용 이익 회복 기대,중국A
신고가,NEW,603259 CH Equity,"WuXi AppTec Co., Ltd. Class A",Health Technology,131.5,3.13,55.7,O,O,"CXO 호황·1Q 순익 +27%(TIDES 급성장), 반기 호실적 기대 매수",중국A
신고가,NEW,002156 CH Equity,"TongFu Microelectronics Co., Ltd. Class A",Electronic Technology,78.71,1.08,17.5,O,O,7/14 반기 순익 +288~337% 예고(AI·메모리 후공정 호조),중국A
신고가,NEW,600018 CH Equity,"Shanghai International Port (Group) Co., Ltd. Class A",Transportation,5.24,0.96,17.8,O,,,중국A
신고가,NEW,002384 CH Equity,"Suzhou Dongshan Precision Manufacturing Co., Ltd Class A",Electronic Technology,262.49,0.81,70.4,O,O,,중국A
신고가,NEW,600900 CH Equity,"China Yangtze Power Co., Ltd. Class A",Utilities,28.68,0.46,103.4,O,,,중국A
